
Yield must in theory move slowly from 0 to 1; claclulated values jump in inconsistent steps and never reach 1

📊 Yield Estimation Results:
✅ 0: [Yield=0.000, True=0.000, Index=0]
✅ 1: [Yield=0.009, True=0.009, Index=1]
✅ 2: [Yield=0.018, True=0.018, Index=2]
✅ 3: [Yield=0.036, True=0.036, Index=4]
✅ 4: [Yield=0.045, True=0.045, Index=5]
✅ 5: [Yield=0.055, True=0.055, Index=6]
✅ 6: [Yield=0.064, True=0.064, Index=7]
✅ 7: [Yield=0.073, True=0.073, Index=8]
✅ 8: [Yield=0.082, True=0.082, Index=9]
✅ 9: [Yield=0.091, True=0.091, Index=10]
✅ 10: [Yield=0.100, True=0.100, Index=11]
✅ 11: [Yield=0.100, True=0.100, Index=11]
✅ 12: [Yield=0.100, True=0.100, Index=11]
✅ 13: [Yield=0.100, True=0.100, Index=11]
✅ 14: [Yield=0.100, True=0.100, Index=11]
✅ 15: [Yield=0.100, True=0.100, Index=11]
✅ 16: [Yield=0.109, True=0.109, Index=12]
✅ 17: [Yield=0.109, True=0.109, Index=12]
✅ 18: [Yield=0.118, True=0.118, Index=13]
✅ 19: [Yield=0.127, True=0.127, Index=14]
✅ 20: [Yield=0.145, True=0.145, Index=16]
✅ 21: [Yield=0.155, True=0.155, Index=17]
✅ 22: [Yield=0.173, True=0.173, Index=19]
✅ 23: [Yield=0.255, True=0.255, Index=28]
✅ 24: [Yield=0.273, True=0.273, Index=30]
✅ 25: [Yield=0.273, True=0.273, Index=30]
✅ 26: [Yield=0.291, True=0.291, Index=32]
✅ 27: [Yield=0.291, True=0.291, Index=32]
✅ 28: [Yield=0.300, True=0.300, Index=33]
✅ 29: [Yield=0.300, True=0.300, Index=33]
✅ 30: [Yield=0.300, True=0.300, Index=33]
✅ 31: [Yield=0.300, True=0.300, Index=33]
✅ 32: [Yield=0.300, True=0.300, Index=33]
✅ 33: [Yield=0.300, True=0.300, Index=33]
✅ 34: [Yield=0.300, True=0.300, Index=33]
✅ 35: [Yield=0.300, True=0.300, Index=33]
✅ 36: [Yield=0.300, True=0.300, Index=33]
✅ 37: [Yield=0.300, True=0.300, Index=33]
✅ 38: [Yield=0.300, True=0.300, Index=33]
✅ 39: [Yield=0.300, True=0.300, Index=33]
✅ 40: [Yield=0.300, True=0.300, Index=33]
✅ 41: [Yield=0.309, True=0.309, Index=34]
✅ 42: [Yield=0.309, True=0.309, Index=34]
✅ 43: [Yield=0.327, True=0.327, Index=36]
✅ 44: [Yield=0.391, True=0.391, Index=43]
✅ 45: [Yield=0.391, True=0.391, Index=43]
✅ 46: [Yield=0.391, True=0.391, Index=43]
✅ 47: [Yield=0.400, True=0.400, Index=44]
✅ 48: [Yield=0.400, True=0.400, Index=44]
✅ 49: [Yield=0.400, True=0.400, Index=44]
✅ 50: [Yield=0.400, True=0.400, Index=44]
✅ 51: [Yield=0.400, True=0.400, Index=44]
✅ 52: [Yield=0.400, True=0.400, Index=44]
✅ 53: [Yield=0.409, True=0.409, Index=45]
✅ 54: [Yield=0.436, True=0.436, Index=48]
✅ 55: [Yield=0.473, True=0.473, Index=52]
✅ 56: [Yield=0.473, True=0.473, Index=52]
✅ 57: [Yield=0.473, True=0.473, Index=52]
✅ 58: [Yield=0.491, True=0.491, Index=54]
✅ 59: [Yield=0.491, True=0.491, Index=54]
✅ 60: [Yield=0.491, True=0.491, Index=54]
✅ 61: [Yield=0.500, True=0.500, Index=55]
✅ 62: [Yield=0.500, True=0.500, Index=55]
✅ 63: [Yield=0.500, True=0.500, Index=55]
✅ 64: [Yield=0.509, True=0.509, Index=56]
✅ 65: [Yield=0.536, True=0.536, Index=59]
✅ 66: [Yield=0.573, True=0.573, Index=63]
✅ 67: [Yield=0.573, True=0.573, Index=63]
✅ 68: [Yield=0.573, True=0.573, Index=63]
✅ 69: [Yield=0.573, True=0.573, Index=63]
✅ 70: [Yield=0.573, True=0.573, Index=63]
✅ 71: [Yield=0.582, True=0.582, Index=64]
✅ 72: [Yield=0.582, True=0.582, Index=64]
✅ 73: [Yield=0.582, True=0.582, Index=64]
✅ 74: [Yield=0.582, True=0.582, Index=64]
✅ 75: [Yield=0.609, True=0.609, Index=67]
✅ 76: [Yield=0.609, True=0.609, Index=67]
✅ 77: [Yield=0.609, True=0.609, Index=67]
✅ 78: [Yield=0.609, True=0.609, Index=67]
✅ 79: [Yield=0.609, True=0.609, Index=67]
✅ 80: [Yield=0.609, True=0.609, Index=67]
✅ 81: [Yield=0.609, True=0.609, Index=67]
✅ 82: [Yield=0.618, True=0.618, Index=68]
✅ 83: [Yield=0.618, True=0.618, Index=68]
✅ 84: [Yield=0.618, True=0.618, Index=68]
✅ 85: [Yield=0.618, True=0.618, Index=68]
✅ 86: [Yield=0.618, True=0.618, Index=68]
✅ 87: [Yield=0.618, True=0.618, Index=68]
✅ 88: [Yield=0.618, True=0.618, Index=68]
✅ 89: [Yield=0.618, True=0.618, Index=68]
✅ 90: [Yield=0.618, True=0.618, Index=68]
✅ 91: [Yield=0.618, True=0.618, Index=68]
✅ 92: [Yield=0.618, True=0.618, Index=68]
✅ 93: [Yield=0.618, True=0.618, Index=68]
✅ 94: [Yield=0.618, True=0.618, Index=68]
✅ 95: [Yield=0.618, True=0.618, Index=68]
✅ 96: [Yield=0.618, True=0.618, Index=68]
✅ 97: [Yield=0.618, True=0.618, Index=68]
✅ 98: [Yield=0.618, True=0.618, Index=68]
✅ 99: [Yield=0.627, True=0.627, Index=69]
