Wavenumbercm-1,00:00:56
4000,-0.00228860716682932
3996,-0.00227653685968626
3992,-0.00236598770361631
3988,-0.00254361817053166
3984,-0.00263977074866618
3980,-0.00258148811413703
3976,-0.00250163439583261
3972,-0.00251008573952929
3968,-0.00252580629741641
3964,-0.00245449766220002
3960,-0.00238314090140555
3956,-0.00243028939215511
3952,-0.00253712164905066
3948,-0.00256186453372385
3944,-0.00251367585525964
3940,-0.00252316381671038
3936,-0.00263724884688731
3932,-0.0027946554300003
3928,-0.00294426068462558
3924,-0.00305240563132447
3920,-0.00305870794734155
3916,-0.00297768845887587
3912,-0.00297139638404431
3908,-0.00319034782546906
3904,-0.00359756844650429
3900,-0.00396872461919054
3896,-0.0041419024612011
3892,-0.00412659013391526
3888,-0.00392487469682668
3884,-0.00356873844563968
3880,-0.00325856608833022
3876,-0.00317687137602085
3872,-0.00326971590919416
3868,-0.00336619312453661
3864,-0.00342871054008901
3860,-0.00353852772418692
3856,-0.0037019257836972
3852,-0.00386991435223779
3848,-0.00408091569575794
3844,-0.00436600378622882
3840,-0.00457923734668807
3836,-0.00452661681689883
3832,-0.00431816449419993
3828,-0.00426808038334848
3824,-0.00442775301145773
3820,-0.00461490965859837
3816,-0.00475127432200413
3812,-0.00496644528111811
3808,-0.00530472235182322
3804,-0.00562032889054415
3800,-0.00578034584258439
3796,-0.00586086748554588
3792,-0.00595247187067939
3788,-0.00599913539221305
3784,-0.00599109102406337
3780,-0.00606500689873096
3776,-0.00628684907521948
3772,-0.00654001529040223
3768,-0.0067621890569413
3764,-0.00707619984886859
3760,-0.00754585499934814
3756,-0.00801349043636162
3752,-0.00832288088490258
3748,-0.00859703111221461
3744,-0.00901961304972444
3740,-0.00939476073642409
3736,-0.00944745935629152
3732,-0.00933489500687486
3728,-0.0094824058126275
3724,-0.0100501920673596
3720,-0.0109362258292088
3716,-0.0120581113009994
3712,-0.0133247543261962
3708,-0.0145270211697952
3704,-0.0156407787110347
3700,-0.017132193310051
3696,-0.0196380928556223
3692,-0.0233888672355153
3688,-0.0278821887309649
3684,-0.032502146239091
3680,-0.0374688760873603
3676,-0.0432896547256068
3672,-0.0494513670996455
3668,-0.0547620438448697
3664,-0.0593960341421503
3660,-0.0642767593086026
3656,-0.0695227857658966
3652,-0.0745756817482427
3648,-0.0791055179440467
3644,-0.0832069507606521
3640,-0.0867862923915566
3636,-0.0900116171334328
3632,-0.0937621296684691
3628,-0.0985433225058552
3624,-0.10337551968038
3620,-0.107465564214861
3616,-0.111795115306177
3612,-0.11716683416997
3608,-0.122429860780434
3604,-0.126605852150194
3600,-0.130915307402084
3596,-0.136512471971072
3592,-0.142423903784628
3588,-0.14732960425545
3584,-0.152110672871282
3580,-0.157773987235622
3576,-0.163114031009153
3572,-0.167113576168141
3568,-0.171335060752774
3564,-0.177268593918977
3560,-0.18299005842885
3556,-0.186589025234446
3552,-0.189761367825831
3548,-0.194444701295478
3544,-0.199183300020734
3540,-0.202044869962395
3536,-0.204708009670762
3532,-0.209109526709377
3528,-0.213459275951253
3524,-0.215378515552865
3520,-0.216641077715269
3516,-0.219607336355868
3512,-0.222534042334773
3508,-0.222919594182894
3504,-0.222414092654584
3500,-0.223551210635635
3496,-0.225084346941426
3492,-0.225182660066451
3488,-0.225745211665317
3484,-0.228713416327194
3480,-0.231663204804936
3476,-0.231779485312333
3472,-0.231163924302635
3468,-0.232647153715024
3464,-0.234699129291382
3460,-0.2350074970807
3456,-0.235563730285862
3452,-0.238591811335784
3448,-0.241426968387009
3444,-0.240865035990555
3440,-0.239171266356694
3436,-0.239302114087949
3432,-0.239496348648868
3428,-0.237692531827
3424,-0.23639796239186
3420,-0.237561562238394
3416,-0.237667905282166
3412,-0.233828750587435
3408,-0.229584665160871
3404,-0.228056835714884
3400,-0.226334749129444
3396,-0.221551566550777
3392,-0.216646048960332
3388,-0.214106609003204
3384,-0.210680504150286
3380,-0.203541677234489
3376,-0.196194038534718
3372,-0.192129245965547
3368,-0.189300326687164
3364,-0.184767378389976
3360,-0.179858920667998
3356,-0.176285122931778
3352,-0.172367181407151
3348,-0.167017087322899
3344,-0.162690373474597
3340,-0.160630387365511
3336,-0.1583171784424
3332,-0.154083704037505
3328,-0.150429712112217
3324,-0.149351470090995
3320,-0.149278651854298
3316,-0.148970412628352
3312,-0.150218287505134
3308,-0.153702925051951
3304,-0.156405105371508
3300,-0.156167729391624
3296,-0.155499414885973
3292,-0.157020369143612
3288,-0.15950000717199
3284,-0.161463548970136
3280,-0.164820355886412
3276,-0.170952071856273
3272,-0.177169935441388
3268,-0.180887248822375
3264,-0.183839031575885
3260,-0.18800632337519
3256,-0.191803346165908
3252,-0.194050570543533
3248,-0.197330603044872
3244,-0.203246848665407
3240,-0.209080112165923
3236,-0.212612486956256
3232,-0.216122921778777
3228,-0.221223460832942
3224,-0.225134533975616
3220,-0.225900223554908
3216,-0.226333485473292
3212,-0.228653706123431
3208,-0.230587516991514
3204,-0.230153810591329
3200,-0.229528721438387
3196,-0.230587028888659
3192,-0.23153705247651
3188,-0.230725326711795
3184,-0.229659563915328
3180,-0.22939606892092
3176,-0.228220305884437
3172,-0.225211831706043
3168,-0.222189065902836
3164,-0.220072896478196
3160,-0.217188508577491
3156,-0.212783695434061
3152,-0.208759015980301
3148,-0.206172094951494
3144,-0.20346840700899
3140,-0.1995089943552
3136,-0.195429912712945
3132,-0.192016310136689
3128,-0.188058108189659
3124,-0.182703352675267
3120,-0.177193350178304
3116,-0.172813298753905
3112,-0.169132444989858
3108,-0.165310873608922
3104,-0.161489562328083
3100,-0.157813488830489
3096,-0.153583509958924
3092,-0.148413826706371
3088,-0.143025782408203
3084,-0.138088972768648
3080,-0.133393254796715
3076,-0.128637632502606
3072,-0.124054868242756
3068,-0.119758043638222
3064,-0.115344184748777
3060,-0.110583402208544
3056,-0.105762975127277
3052,-0.101033374321192
3048,-0.0961721461582409
3044,-0.0912181249509038
3040,-0.0865973295670984
3036,-0.0824234464835693
3032,-0.0783280525450367
3028,-0.0741768958356954
3024,-0.0704377538286426
3020,-0.0676617920852029
3016,-0.0661187091894162
3012,-0.0659793878506545
3008,-0.0672217814510911
3004,-0.0689716809631839
3000,-0.0693589420714738
2996,-0.0670675187047767
2992,-0.0630396507302887
2988,-0.0594661627556871
2984,-0.057293067105465
2980,-0.055338889726205
2976,-0.0518798321299584
2972,-0.0463266845459176
2968,-0.0390587689154339
2964,-0.0306282264807822
2960,-0.0210985336445394
2956,-0.00962319089467061
2952,0.00499489463072045
2948,0.0225247099807373
2944,0.0401081625187414
2940,0.053491942987961
2936,0.0598366994799599
2932,0.0603090868248423
2928,0.0590663302328518
2924,0.0590058351640482
2920,0.0599307109657529
2916,0.0605819578468046
2912,0.0604854283536103
2908,0.0591123979099297
2904,0.0553982795520819
2900,0.0492730660686652
2896,0.0421627724936941
2892,0.0354699447556108
2888,0.0297918237550198
2884,0.0255261125195045
2880,0.0229503840087592
2876,0.0215985047490664
2872,0.0204669515232135
2868,0.0190564415727273
2864,0.017610795962961
2860,0.0161140371677791
2856,0.013914315111298
2852,0.0111721925426437
2848,0.0105543825536924
2844,0.0169645572502455
2840,0.0348494677945017
2836,0.0629514303403582
2832,0.0906156958000507
2828,0.10475418393418
2824,0.101813812620446
2820,0.0885011344102273
2816,0.0731014121388899
2812,0.0597302169202766
2808,0.0488970874058728
2804,0.0402292422678891
2800,0.0336020689774535
2796,0.0286187372989108
2792,0.0244836315000018
2788,0.0207357660885833
2784,0.0174962781349202
2780,0.0148483197958004
2776,0.0125277757672692
2772,0.0103276453391916
2768,0.00830950693374599
2764,0.00648672785747386
2760,0.00472447560559412
2756,0.00305805723544025
2752,0.00172052345943731
2748,0.000748279181070687
2744,-9.3093891507503E-05
2740,-0.000914746682685688
2736,-0.00157226488147685
2732,-0.00201706260556639
2728,-0.00243919430620095
2724,-0.0029351281838326
2720,-0.00334308263713211
2716,-0.00354939844304578
2712,-0.00367970969603804
2708,-0.00385455031931709
2704,-0.00400794906335777
2700,-0.00408025116467177
2696,-0.00415119612128718
2692,-0.00425915687173847
2688,-0.00431538978653664
2684,-0.00430277491266878
2680,-0.00433076323433782
2676,-0.00440204463670988
2672,-0.00436273474966704
2668,-0.00417380364363993
2664,-0.00399158429239203
2660,-0.00389208751504179
2656,-0.00374663238769622
2652,-0.00347472019576881
2648,-0.00319953330229535
2644,-0.00298895123869741
2640,-0.00265604528787166
2636,-0.0020455374334571
2632,-0.00126434072026368
2628,-0.000390186145203173
2624,0.000683062587243924
2620,0.00178747455381074
2616,0.00238517881667868
2612,0.00242042847856261
2608,0.00262348690545516
2604,0.0033480608898739
2600,0.00395611542673789
2596,0.00402655629086086
2592,0.00414301579817441
2588,0.00456991751822996
2584,0.00446259357592792
2580,0.00349810886945695
2576,0.00289694722571513
2572,0.00350161228549288
2568,0.00428196841024706
2564,0.00400150606178932
2560,0.00314337111825715
2556,0.00272713937840836
2552,0.00270803222031064
