Wavenumbercm-1,00:00:26
4000,-0.000738409562915855
3996,-0.000675012504941489
3992,-0.00059650599904592
3988,-0.000573831293399596
3984,-0.000647551292310106
3980,-0.000762717031120324
3976,-0.000839611117520815
3972,-0.000852184134845644
3968,-0.000806199561187727
3964,-0.000720999765373837
3960,-0.000655569567075441
3956,-0.000659499824781019
3952,-0.000665495594797626
3948,-0.000533773130516454
3944,-0.000275640935939839
3940,-0.000109435073422768
3936,-0.000211477232022381
3932,-0.000498452859839222
3928,-0.00072757632013634
3924,-0.000729356403385856
3920,-0.000494181867850324
3916,-0.00016424609767973
3912,4.60897952354397E-05
3908,-1.04403281775295E-05
3904,-0.000292930188242237
3900,-0.000549890289166113
3896,-0.000615478046806545
3892,-0.000609665828514135
3888,-0.000643687580959638
3884,-0.000641374000491014
3880,-0.000557582001997772
3876,-0.000555583784754573
3872,-0.000780024569751784
3868,-0.00108975460037688
3864,-0.00121135244921708
3860,-0.00109314648566016
3856,-0.000853056518047213
3852,-0.000588407337739387
3848,-0.000401016015498644
3844,-0.000391529018413724
3840,-0.000519114616023822
3836,-0.000561156713227184
3832,-0.00038790367774693
3828,-0.00020823254136154
3824,-0.000238601070928171
3820,-0.000387591069160287
3816,-0.000389918934473385
3812,-0.000235789199101296
3808,-0.00012819069879093
3804,-0.000122402244075271
3800,-0.000111085086322238
3796,-8.97079795667553E-05
3792,-0.000191682181907765
3788,-0.000432914778534787
3784,-0.000657564349601845
3780,-0.000708199461401749
3776,-0.000594360623056409
3772,-0.00041993553134374
3768,-0.00028024161456331
3764,-0.000262390010621412
3760,-0.0003775363397581
3756,-0.000509409265780411
3752,-0.000509156557829015
3748,-0.000380544027338514
3744,-0.000276467896240217
3740,-0.000216341546758057
3736,-0.000106032274094218
3732,1.86532124091014E-05
3728,7.56626322528225E-05
3724,0.000134704308608711
3720,0.000286883471485955
3716,0.000452227068256635
3712,0.000509447641170731
3708,0.000552841060143814
3704,0.000755417758406893
3700,0.00102614261225232
3696,0.0011045056757991
3692,0.000884724048905091
3688,0.000528984821949956
3684,0.000251250459250849
3680,9.01850983656943E-05
3676,3.28890982527693E-05
3672,0.00011170511640826
3668,0.000284129203855796
3664,0.000480218284553184
3660,0.000744647063385747
3656,0.00112872092314851
3652,0.00156455718374236
3648,0.002030360881372
3644,0.0027276235914586
3640,0.00370418183317618
3636,0.00466332167224695
3632,0.00532733074132665
3628,0.00581498536647333
3624,0.00644262015418229
3620,0.00717193443648916
3616,0.00779085846509116
3612,0.00844718037685381
3608,0.0093757971229924
3604,0.0102982087024906
3600,0.0107589918197002
3596,0.0107446218189793
3592,0.0105498610883046
3588,0.0104083545431242
3584,0.0105112545096094
3580,0.0111682907289075
3576,0.0124833450854532
3572,0.0138558869514125
3568,0.0143321392011332
3564,0.0137409619934385
3560,0.0129356589933176
3556,0.0125045326774728
3552,0.0121914252917344
3548,0.011768684341133
3544,0.0115116330716575
3540,0.0115300391180401
3536,0.0113741093155393
3532,0.0107879035580511
3528,0.0102807119042764
3524,0.0103524325235172
3520,0.0104300546312624
3516,0.00957724117671667
3512,0.00782296801381036
3508,0.0062219047508743
3504,0.00553449220261867
3500,0.00560988873737744
3496,0.0059601593912154
3492,0.00624950496826675
3488,0.00632094779521716
3484,0.00612048092028882
3480,0.00570256166662215
3476,0.0050871341611384
3472,0.003962429602214
3468,0.00192859701670974
3464,-0.000701987306715738
3460,-0.00287421247250147
3456,-0.00407062518949652
3452,-0.00475353520863968
3448,-0.00547482159316659
3444,-0.00634366018853919
3440,-0.00718694520003898
3436,-0.00767454022753326
3432,-0.00741792166789955
3428,-0.00655080498819451
3424,-0.00587775976124753
3420,-0.00615262170725366
3416,-0.00740770792197072
3412,-0.00909665489268402
3408,-0.0105418166764674
3404,-0.0111202785656386
3400,-0.0108557647668607
3396,-0.0111585958028048
3392,-0.0135414626378085
3388,-0.0176676777655104
3384,-0.0214082805190944
3380,-0.023190143485188
3376,-0.0240332749523519
3372,-0.0252890873264432
3368,-0.0266546807055188
3364,-0.0273140866860025
3360,-0.0274720741246356
3356,-0.0277141878502905
3352,-0.0279386128930397
3348,-0.027852925501405
3344,-0.0276688451599648
3340,-0.0273011303604949
3336,-0.026080684114733
3332,-0.0241005005429021
3328,-0.0224353927149202
3324,-0.0215778956103796
3320,-0.0212591568610915
3316,-0.0214954277529445
3312,-0.0224980423994734
3308,-0.0236698955520531
3304,-0.0240698109921561
3300,-0.0240710710697926
3296,-0.0250796039964372
3292,-0.0271226707760531
3288,-0.028290195174739
3284,-0.027464425195517
3280,-0.026061734245552
3276,-0.0258298867319481
3272,-0.0268814851272029
3268,-0.0285234492669042
3264,-0.0304626577621131
3260,-0.0321283206856438
3256,-0.0324350703855259
3252,-0.0314416086180288
3248,-0.0306767201147193
3244,-0.0309176535342618
3240,-0.0313344564725654
3236,-0.0312465117239381
3232,-0.0312283506898921
3228,-0.0316911030144606
3224,-0.0322311069314839
3220,-0.0328799250381359
3216,-0.0341932184885806
3212,-0.0357983540780312
3208,-0.0363694806359872
3204,-0.0355816242834942
3200,-0.0346688371512182
3196,-0.0343623200175874
3192,-0.0340617294752251
3188,-0.0333326685719864
3184,-0.0326820248431309
3180,-0.0322927783719709
3176,-0.0314551054733868
3172,-0.029851809842573
3168,-0.028117336431647
3164,-0.0268084847049246
3160,-0.0258130299732638
3156,-0.024825977361407
3152,-0.0239209896548601
3148,-0.0232640091548755
3144,-0.0226848907812953
3140,-0.0219442787267897
3136,-0.0210271802044709
3132,-0.0200256291081037
3128,-0.0190575686304342
3124,-0.0182766045896507
3120,-0.0176769267533144
3116,-0.0170399778914869
3112,-0.0163001223210081
3108,-0.0156938439041945
3104,-0.0152848332774439
3100,-0.0146948127366631
3096,-0.0136432294737329
3092,-0.0124480324623579
3088,-0.0115642430953074
3084,-0.0109726183807114
3080,-0.0104461659883143
3076,-0.0100740331191937
3072,-0.0100804623938835
3068,-0.0103139799002357
3064,-0.0103842659983903
3060,-0.0102160788426781
3056,-0.0100691177985501
3052,-0.0100613056218035
3048,-0.010077292879568
3044,-0.010098955962083
3040,-0.0102491637156142
3036,-0.0105032893139621
3032,-0.0106467841969155
3028,-0.0105589339317183
3024,-0.010383186307496
3020,-0.0104805400548598
3016,-0.0114273737274961
3012,-0.0138617037147134
3008,-0.0179375458638022
3004,-0.0228908966082246
3000,-0.0274196584068793
2996,-0.0309201406575603
2992,-0.0341342779417985
2988,-0.0379209568597326
2984,-0.0418327059107548
2980,-0.0445183339111904
2976,-0.0452976952411826
2972,-0.0444002481678323
2968,-0.0421636115957382
2964,-0.0391873641372837
2960,-0.0364673483169329
2956,-0.0345080651820584
2952,-0.0328010942574926
2948,-0.0306707928931882
2944,-0.0282708645679197
2940,-0.0262198483895816
2936,-0.0248297204979875
2932,-0.0240810273676736
2928,-0.0237583595605335
2924,-0.0234247227863568
2920,-0.0226856452919328
2916,-0.0216717865525188
2912,-0.0208926463170102
2908,-0.0205696690728884
2904,-0.0205390646654499
2900,-0.0206948618273631
2896,-0.021092023225772
2892,-0.0216028972049195
2888,-0.0217915724654674
2884,-0.0212732108939755
2880,-0.0200303113317486
2876,-0.0183025466648764
2872,-0.0164306691871588
2868,-0.0147898834354666
2864,-0.0135423572496851
2860,-0.0125196339205868
2856,-0.0116448478548294
2852,-0.0113755473623804
2848,-0.0123514406444113
2844,-0.0145128527020485
2840,-0.0167750622204821
2836,-0.0177794967928822
2832,-0.0171356593872617
2828,-0.0155527494265795
2824,-0.0138645215331704
2820,-0.0125313861372851
2816,-0.0116814686610093
2812,-0.0111451211870691
2808,-0.0106009572833267
2804,-0.00988485228408119
2800,-0.00907740819639179
2796,-0.00827016334871136
2792,-0.00742837499705473
2788,-0.0065241260112121
2784,-0.00561817857151783
2780,-0.00473330892811411
2776,-0.00379040651824604
2772,-0.00274826051095806
2768,-0.00171163569389693
